,laboratory,city,country,lat,long,contact
0,University of Nottingham,Nottingham,UK,-1.250296,52.831497,Stuart dot Marsh at nottingham.ac.uk
1,University of Girona,Girona,Spain,2.837305,41.967426,lluis at sigte.udg.edu
2,University of Southampton,Southampton,UK,-1.396873,50.936974,osgl at geodata.soton.ac.uk
3,Czech Technical University in Prague,Prague,Czech Republic,14.390363,50.10183,martin.landa at fsv.cvut.cz
4,Open Source Geospatial Lab Newcastle University,Newcastle,UK,-1.611536,54.980656,david.fairbairn@newcastle.ac.uk
5,Politecnico di Milano - Polo Territoriale di Como,Como,Italy,9.095939,45.803516,maria.brovelli@polimi.it
6,University of Warwick,Warwick,UK,-1.56273,52.380531,geolab at warwick.ac.uk
7,UNEP/GRID Warsaw Centre,Warsaw,Poland,21.039473,52.198849,ela at gridw.pl
8,University of Applied Sciences and Arts of Southern Switzerland (SUPSI),Lugano,Switzerland,8.961098,46.028362,geomatica at supsi.ch
9,Open Source Geospatial Laboratory at ETH Zurich,Zurich,Switzerland,8.5481,47.3764,iosifescu@ethz.ch
10,University of Molise,Molise,Italy,14.493651,41.630815,rossella.nocera at unimol.it
11,Institute of Geodesy and Cartography (IGiK),Warsaw,Poland,21.013407,52.178478,Marek.Baranowski@igik.edu.pl
12,"Faculty of Geography, University of Bucharest",Bucharest,Romania,26.103889,44.4325,andreea dot marin09 at yahoo dot com
13,University Alba Regia Technical Faculty Institute of Geoinformatics OSGeo Lab,Székesfehérvár,Hungary,18.418833,47.188778,podor.andrea@amk.uni-obuda.hu
14,Stuttgart University of Applied Sciences,Stuttgart,Germany,9.1737,48.77996,franz-josef.behr at hft-stuttgart.de
15,"Laboratorio Geoespacial Livre, Federal University of Paraná",Paraná,Brazil,-49.23329,-25.45304,silvanacamboim at gmail.com
16,"Institute of Geography, Pavol Jozef Šafárik University",Kosice,Slovakia,21.2460432,48.7288883,jaroslav.hofierka@upjs.sk
17,"OSGeoLabUD, Universidad Distrital Francisco José de Caldas",Bogotá,Colombia,-74.06564,4.62799,paulo_cesar@udistrital.edu.co
18,Universidad de la República,Montevideo,Uruguay,-56.176441,-34.902405,vivi@fcien.edu.uy
19,"Dipartimento di Ingegneria Civile Ambientale e Meccanica, University of Trento",Trento,Italy,11.139053,46.064827,clara.tattoni at unitn.it
20,University of Heidelberg,Heidelberg,Germany,8.67024,49.41739,unknown
21,North Carolina State University OSGeoREL,"Raleigh, NC",USA,-78.6764,35.7818,hmitaso at ncsu.edu
